,comunidad_1
0,204307727
1,1172895041179791360
2,2993588327
3,2713598831
4,1157866141051707392
5,1263290694
6,108753554
7,450089254
8,1566839424
9,143254173
10,172905807
11,468620838
12,164896408
13,2848180313
14,139127259
15,187621580
16,89864312
17,403792711
18,1255609277496123405
19,147083822
20,755537431882002433
21,4298007214
22,440747611
23,1279243256
24,743077538780581888
25,1335735321053581313
26,1069202613533634560
27,380411401
28,469846951
29,1264339340047667209
30,4196614576
31,1154072448
32,2818599958
33,241280983
34,723280495
35,2437068752
36,1069798191607017472
37,1370990556000686080
38,1290448794140774400
39,917045885187641344
40,35833001
41,124359730
42,156242969
43,983832001563242496
44,1173652489
45,334949540
46,739482054564413440
47,990204254324514819
48,136512552
49,226621766
50,442247879
51,119157110
52,2203883076
53,204796560
54,197629738
55,717868107994382336
56,1341085534073069569
57,362203408
58,1245049171415007233
59,1254110775213522944
60,333721325
61,187210003
62,39392527
63,1228796774
64,196411264
65,130447908
66,294411705
67,411906970
68,3255256882
69,896339665
70,3045650828
71,157851378
72,74568630
73,361372635
74,1646343414
75,521652013
76,741102680
77,1025101808
78,1155086240305287168
79,339764320
80,36312158
81,1282889125
82,166805538
83,1246281523
84,724595741893746688
85,569478566
86,158091450
87,2507680435
88,1219749523
89,216062258
90,1634235037
91,1254067466264854528
92,2294703543
93,1278906255092994050
94,980869896
95,164804924
96,833859141185712128
97,156490383
98,321652274
99,1491401647
100,518019234
101,615946452
102,174869487
103,17934673
104,883153468852252672
105,789415809537875968
106,191596724
107,2168642235
108,905849875132276745
109,1458048818
110,1020399992
111,64188812
112,4780182268
113,4883891560
114,831270319147122688
115,488779671
116,4838096951
117,231076163
118,1249220367593410561
119,172420804
120,2230746810
121,1267966186614030338
122,282208045
123,2437042620
124,331284143
125,842965454
126,174847283
127,1026986161976369152
128,1362073858120052737
129,2501802037
130,509251966
131,899019102
132,1335320535748784133
133,1338939386336043021
134,986774780950073344
135,18433503
136,1261317151635443713
137,207825138
138,568857221
139,1613783755
140,621568239
141,1272368094644666375
142,4826059733
143,205711475
144,1665003607
145,2990372127
146,104916189
147,214516796
148,314886392
149,2431086664
150,145450554
151,1344240161933111297
152,2877598333
153,2213164394
154,195396765
155,139118304
156,382582233
157,541729388
158,2272086048
159,124321494
160,2861681379
161,1345423350315819009
162,864129326
163,737834272275501056
164,1054384603069325312
165,197969736
166,1063709328
167,2559227269
168,75106164
169,1194927674826903552
170,759550942425538560
171,892569378511892480
172,301492316
173,511099914
174,147831260
175,398247902
176,1274897709435101184
177,288002651
178,4229000793
179,723689256938541057
180,194159504
181,857015892198252544
182,475216421
183,562998765
184,1299862468680912908
185,133786201
186,1151286415797473280
187,4197210873
188,1087158188670140416
189,955182380658118660
190,1042330418576596994
191,237404649
192,2688383556
193,228207052
194,219188457
195,4759086448
196,512329706
197,1274559443661991936
198,729465089624027136
199,1905762896
200,1347139356
201,976979930641829888
202,140578672
203,880650829614768128
204,111592733
205,777896745380507648
206,415020891
207,536045808
208,179285849
209,202674135
210,170007115
211,199306937
212,1212477183400108033
213,775354988155564033
214,574739820
215,554808135
216,878937140
217,1075758796465717249
218,1108550949923180547
219,1242560501315444744
220,469260983
221,4846225031
222,1271352148362776576
223,348999484
224,172707644
225,143188516
226,4499580976
227,3165521253
228,752955541
229,259763826
230,852040604
231,192736123
232,1192503985741148160
233,483859524
234,133692652
235,146262066
236,2445364141
237,334879732
238,610206288
239,727202831766265857
240,276145630
241,1240745970268344320
242,307406161
243,374117272
244,877748421649735681
245,139939549
246,1450109178
247,122186695
248,3074014469
249,2353582648
250,480947530
251,378740055
252,1334250059916054534
253,1354905774686875649
254,795172656
255,352751604
256,1229753782046732288
257,462078747
258,812439608583745536
259,4376982796
260,319237811
261,316798951
262,176771982
263,163638084
264,837463774705614848
265,454761578
266,142827339
267,164481832
268,887993216
269,420020785
270,201778033
271,1440003810
272,188190204
273,227868211
274,1242586204102627335
275,1277394409336733697
276,1183752328299663360
277,174065182
278,209667012
279,531857078
280,1259679241454727169
281,868604062232719360
282,118756065
283,2190613203
284,145726095
285,1160962657
286,1139906940
287,1175076765628338178
288,1689379274
289,162437449
290,909514336384770048
291,220740596
292,182126884
293,368560574
294,3224697389
295,155265371
296,2761647657
297,166587459
298,146574785
299,3504635355
300,1144673448381308929
301,146875989
302,1216398004267159552
303,844014835042058241
304,186884335
305,115032050
306,1110603129102454784
307,442885540
308,836330525103108097
309,1080654319005896709
