,user,Clase,degree,betweenness,eigenvector,closeness,pagerank,harmonic
2,1329815581302853632,0,1.0,0.0,0.003618449744107573,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
4,811607948,0,5.0,0.0,4.538588950745011e-05,0.20762743448584298,9.648811447256667e-06,0.2109825384461992
5,405924380,0,72.0,494.25393900143814,0.005138526058234441,0.26811828363596363,1.2791320748754708e-05,0.27836174395391683
6,811960507829800960,0,7.0,0.0,0.007389716765238944,0.2817295188556567,7.986407834086826e-06,0.3027702299292008
7,3108851163,0,41.0,111912.46015574981,0.011334280571061981,0.2947953282685112,0.0001156991819354857,0.31512762345066025
8,34811840,0,1.0,0.0,0.005004827192851194,0.268020618556701,8.95388826531035e-06,0.278221874442958
9,145493922,0,146.0,0.0,0.0036184497441075713,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
11,156054222,0,16.0,0.0,1.1967468915416154e-05,0.2060161338890914,9.15260104693352e-06,0.2091095253650031
12,161859001,0,6.0,0.0,0.0004319411554952055,0.24613258099331603,6.50141286394072e-06,0.2529401013905737
13,927377684224708608,0,21.0,0.0,0.0008273103612074708,0.24914390125475966,8.946539354947359e-06,0.25104088521016166
14,960475608873684992,0,38.0,0.0,0.010008574200116279,0.2847535596933187,8.848769481303885e-06,0.2983786383720994
15,290671142,0,15.0,120.2203845113753,0.0012687056831232313,0.2696384492522143,2.6994512042256793e-05,0.2754321417504628
16,2585749633,0,30.0,0.0,0.0001612414403477692,0.22471735297168344,8.298635750856272e-06,0.22827311406475762
17,1340629915176226825,0,8.0,3884.9022751560515,0.010168108197983711,0.3040488386779875,1.5029094062608928e-05,0.32524151121285183
20,4531354456,0,2.0,0.0,0.00011548800329039822,0.23330541429853424,6.68383901424309e-06,0.2401436663679678
21,141508805,0,20.0,0.0,0.02189901839697294,0.2943369738321848,1.8697700555524582e-05,0.31731103557278734
23,202984292,0,39.0,311.16412617787864,0.005254376810782348,0.2741075005798874,1.296032986772012e-05,0.28471363243159126
24,1324927863913656321,0,11.0,0.0,0.007162230322151214,0.27650583188570216,8.619753751276304e-06,0.2883822158728969
25,1207261773428068354,0,3.0,0.0,6.859084460254129e-06,0.19561978620623924,1.0658018820182461e-05,0.19819683193768778
26,1092059695383281666,0,101.0,0.0,0.010008574200116275,0.2847535596933187,8.848769481303885e-06,0.2983786383720994
28,2223272358,0,2.0,0.0,0.010008574200116277,0.2847535596933187,8.848769481303885e-06,0.2983786383720994
30,62979727,0,21.0,0.0,3.853702841430901e-06,0.19453465227997185,8.213334033967147e-06,0.19620799876524636
31,464068963,0,1.0,0.0,0.01000857420011628,0.2847535596933187,8.848769481303885e-06,0.2983786383720994
32,252168075,0,8207.0,1840.9978743978054,0.007415764410421082,0.2818109553403671,1.1210913391400308e-05,0.302906330501242
33,1043343131272462336,0,38.0,0.0,0.007162230322151213,0.27650583188570216,8.619753751276304e-06,0.2883822158728969
34,4422267497,0,8.0,0.0,0.0036184497441075713,0.25873977401654735,1.022963252558975e-05,0.2691019396276564
36,3102885442,0,11.0,58267.65302050306,0.026344778502287964,0.31287959627403944,3.0336183993811244e-05,0.33983218051665504
37,35961319,0,70.0,0.0,7.899971288429419e-05,0.22161919483530723,7.6049430615874394e-06,0.22871918493595708
38,43814969,0,134.0,0.0,5.5083430580162184e-05,0.21527344590976588,9.173311421581814e-06,0.2164969746786393
39,213751459,0,6.0,0.0,0.005004827192851193,0.268020618556701,8.95388826531035e-06,0.278221874442958
